Year,Stadiums,Division,G,GS,PA,AB,Runs,Hits,Doubles,Triples,Home Runs,RBI,SB,CS,BB,SO,BA,On-Base Percentage,Slugging,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,Elevation,Latitude,Longitude
2018,LAA-Angels Stadium,AL West,1692,162,6070,5423,710,1281,239,16,223,677,66,26,535,1351,0.236,0.31,0.41,0.719,2221,127,61,5,44,29,50,0.272,98,100,160,33.8003,-117.8827
2018,SFG-AT&T Park,NL West,2420,162,6158,5537,655,1361,281,43,124,622,83,31,492,1316,0.246,0.31,0.379,0.689,2100,131,44,41,44,39,55,0.299,90,100,0,37.7786,-122.3892
2018,STL-Busch Stadium,NL Central,2460,162,6186,5496,697,1347,233,15,161,664,45,21,516,1305,0.245,0.315,0.381,0.696,2093,107,68,55,51,40,61,0.291,92,100,440,38.6226,-90.1928
2018,BAL-Camden Yards,AL East,1654,162,6179,5563,750,1432,260,20,223,711,83,33,500,1249,0.257,0.324,0.432,0.756,2401,145,68,13,35,19,46,0.293,108,100,33,39.2839,-76.6215
2018,ARI-Chase Field,NL West,2451,162,6213,5527,687,1319,254,47,171,642,81,27,559,1452,0.239,0.313,0.394,0.708,2180,124,57,33,36,43,53,0.291,95,100,1086,33.4452,-112.0667
2018,NYM-Citi Field,NL East,2355,162,6031,5405,584,1208,198,25,167,568,96,37,486,1468,0.224,0.294,0.362,0.656,1957,91,67,39,34,29,48,0.274,81,100,13,40.7571,-73.8458
2018,PHI-Citizens Bank Park,NL East,2413,160,6051,5406,707,1283,259,29,194,670,82,32,523,1568,0.237,0.309,0.403,0.712,2179,99,56,29,35,26,58,0.296,96,100,9,39.9056,-75.1667
2018,DET-Comerica Park,AL Central,1600,162,6090,5529,693,1371,285,39,163,662,68,29,443,1233,0.248,0.307,0.402,0.709,2223,102,54,11,52,15,66,0.289,95,100,594,42.3389,-83.0488
2018,COL-Coors Field,NL West,2446,162,6220,5563,849,1535,325,60,220,809,87,27,514,1368,0.276,0.34,0.475,0.815,2640,148,54,40,47,32,55,0.327,123,100,5200,39.7559,-104.9942
2018,LAD-Dodger Stadium,NL West,2494,164,6122,5518,663,1303,271,13,214,624,71,29,481,1522,0.236,0.303,0.406,0.71,2242,95,62,33,26,34,58,0.286,95,100,380,34.0739,-118.24
